,drug_name,side_effects,brand_names,alcohol,drug_link
10,sertraline,"skin rash or hives (with or without fever or joint pain); difficulty breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: unusual bleeding or bruising; a seizure; vision changes, eye pain , redness, or swelling; low blood sodium - headache , confusion, problems with thinking or memory, weakness, feeling unsteady; or manic episodes - racing thoughts, increased energy, unusual risk-taking behavior, extreme happiness, being irritable or talkative. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting , or diarrhea . Sertraline can affect growth in children. Your child's height and weight may be checked often. Common sertraline side effects may include: indigestion , nausea, diarrhea, loss of appetite, loose stool; increased sweating; tremors; or sexual problems.",Zoloft,X,https://www.drugs.com/sertraline.html
11,simvastatin,"signs of a kidney problem - little or no urinating; painful or difficult urination; swelling in your feet or ankles; feeling tired or short of breath; or muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; or liver problems - nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common simvastatin side effects may include: headache; constipation, nausea, stomach pain; or cold symptoms such as stuffy nose, sneezing, sore throat.",Zocor,X,https://www.drugs.com/simvastatin.html
12,montelukast,"hives , blisters, severe itching; difficult breathing; swelling of your face, lips, tongue, or throat. Tell your doctor right away if you have signs of blood vessel inflammation: flu-like symptoms, severe sinus pain, a skin rash, numbness or a ""pins and needles"" feeling in your arms or legs. Some people using montelukast have had new or worsening mental problems. Stop taking montelukast and call your doctor right away if you have unusual changes in mood or behavior, such as: agitation, aggression, feeling restless or irritable; anxiety , depression, confusion, problems with memory or attention; stuttering, tremors, uncontrolled muscle movements; suicidal thoughts or actions; hallucinations, sleep problems, vivid, dreams, sleep-walking; or compulsive or repetitive behaviors. Common side effects of montelukast may include: stomach pain, diarrhea ; fever or other flu symptoms; ear pain or full feeling, trouble hearing; headache ; or cold symptoms such as runny or stuffy nose, sinus pain, cough, sore throat .",Singulair,,https://www.drugs.com/montelukast.html
13,escitalopram,"skin rash or hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety, panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; racing thoughts, unusual risk-taking behavior, feelings of extreme happiness or sadness; pain or burning when you urinate; (in a child taking escitalopram) slow growth or weight gain; low levels of sodium in the body - headache , confusion, slurred speech, severe weakness, vomiting, loss of coordination, feeling unsteady; or severe nervous system reaction - very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. Common escitalopram side effects may include: painful urination; dizziness , drowsiness, tiredness, weakness; feeling anxious or agitated; increased muscle movements, feeling shaky; sleep problems ( insomnia ); sweating, dry mouth, increased thirst, loss of appetite; nausea, constipation ; yawning; nosebleed, heavy menstrual periods; or decreased sex drive, impotence , or difficulty having an orgasm.",Lexapro,X,https://www.drugs.com/escitalopram.html
14,rosuvastatin,"Serious side effects of rosuvastatin include: Muscle pain, tenderness and weakness (myopathy). Muscle problems, including muscle breakdown, can be serious in some people and rarely cause kidney damage that can lead to death. Tell your doctor right away if: you have unexplained muscle pain, tenderness, or weakness, especially if you have a fever or feel more tired than usual, while you take this medication. you have muscle problems that do not go away even after your doctor has told you to stop taking this medication. Your doctor may do further tests to diagnose the cause of your muscle problems. Your chances of getting muscle problems are higher if you: are taking certain other medicines while you take rosuvastatin are 65 years of age or older have thyroid problems (hypothyroidism) that are not controlled have kidney problems are taking higher doses of this medication Liver problems. Your doctor should do blood tests to check your liver before you start taking this medication and if you have symptoms of liver problems while you taking it. Call your doctor right away if you have any of the following symptoms of liver problems: feel unusually tired or weak loss of appetite upper belly pain dark urine yellowing of your skin or the whites of your eyes The most common side effects of rosuvastain may include: headache muscle aches and pains abdominal pain weakness nausea Additional side effects that have been reported with rosuvastatin include memory loss and confusion. Tell your doctor if you have any side effect that bothers you or that does not go away. These are not all the possible side effects. For more information, ask your doctor or pharmacist. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088. Rosuvastatin side effects",Crestor,X,https://www.drugs.com/rosuvastatin.html
15,bupropion,"(hives, itching, fever, swollen glands, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling). Report any new or worsening symptoms to your doctor , such as: mood or behavior changes, anxiety, depression, panic attacks, trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: a seizure (convulsions); confusion, unusual changes in mood or behavior; blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; fast or irregular heartbeats; or a manic episode - racing thoughts, increased energy, reckless behavior, feeling extremely happy or irritable, talking more than usual, severe problems with sleep. Common bupropion side effects may include: dry mouth, sore throat, stuffy nose; ringing in the ears; blurred vision; nausea, vomiting, stomach pain, loss of appetite, constipation; sleep problems (insomnia); tremors, sweating, feeling anxious or nervous; fast heartbeats; confusion, agitation, hostility; rash; weight loss; increased urination; headache, dizziness; or muscle or joint pain.","Aplenzin, Forfivo XL, Wellbutrin SR, Wellbutrin XL, Zyban, Budeprion XL",X,https://www.drugs.com/bupropion.html
16,furosemide,"a light-headed feeling, like you might pass out; ringing in your ears, hearing loss; muscle spasms or contractions; pale skin, easy bruising, unusual bleeding; high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor; kidney problems - little or no urination, swelling in your feet or ankles, feeling tired or short of breath; signs of liver or pancreas problems - loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting , dark urine, jaundice (yellowing of the skin or eyes); or signs of an electrolyte imbalance - dry mouth, thirst, weakness, drowsiness, feeling jittery or unsteady, vomiting, irregular heartbeats, fluttering in your chest, numbness or tingling, muscle cramps, muscle weakness or limp feeling. Common furosemide side effects may include: diarrhea , constipation , loss of appetite; numbness or tingling; headache , dizziness ; or blurred vision.",Lasix,X,https://www.drugs.com/furosemide.html
17,pantoprazole,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; sudden pain or trouble moving your hip, wrist, or back; bruising or swelling where intravenous pantoprazole was injected; kidney problems - fever, rash, nausea, loss of appetite, joint pain, urinating less than usual, blood in your urine, weight gain; low magnesium - dizziness, fast or irregular heart rate, tremors (shaking) or jerking muscle movements, feeling jittery, muscle cramps, muscle spasms in your hands and feet, cough or choking feeling; or new or worsening symptoms of lupus - joint pain, and a skin rash on your cheeks or arms that worsens in sunlight. Taking pantoprazole long-term may cause you to develop stomach growths called fundic gland polyps. Talk with your doctor about this risk. If you use pantoprazole for longer than 3 years, you could develop a vitamin B-12 deficiency. Talk to your doctor about how to manage this condition if you develop it. Common pantoprazole side effects may include: headache , dizziness; stomach pain, gas, nausea , vomiting , diarrhea; joint pain; or fever , rash, or cold symptoms (most common in children).",Protonix,,https://www.drugs.com/pantoprazole.html
18,trazodone,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Stop taking trazodone and call your doctor at once if you have a penis erection that is painful or lasts 6 hours or longer. This is a medical emergency and could lead to a serious condition that must be corrected with surgery. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: fast or pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out); slow heartbeats; unusual thoughts or behavior; easy bruising, unusual bleeding; or low levels of sodium in the body - headache, confusion, slurred speech, severe weakness, vomiting, loss of coordination, feeling unsteady. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea . Common trazodone side effects may include: drowsiness, dizziness, tiredness; swelling; weight loss; blurred vision; diarrhea, constipation ; or stuffy nose.","Desyrel, Desyrel Dividose, Oleptro",X,https://www.drugs.com/trazodone.html
19,fluticasone,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Fluticasone topical may cause serious side effects. Call your doctor at once if you have: skin pain, tenderness, or swelling; any wound that will not heal; blurred vision, eye pain ; severe skin irritation after using the medicine; or possible signs of absorbing this medicine through your skin--weight gain (especially in your face or your upper back and torso), thinning or discolored skin, increased body hair, muscle weakness, nausea , diarrhea , tiredness, mood changes, menstrual changes, sexual changes. Common side effects of fluticasone topical may include: skin redness, itching, or rash; burning or stinging of treated skin; increased hair growth; or feeling light-headed.","Beser, Cutivate",,https://www.drugs.com/mtm/fluticasone-topical.html
20,fluticasone,"hives , rash; feeling light-headed; difficult breathing; swelling of your face, lips, tongue, or throat. Fluticasone nasal may cause serious side effects. Call your doctor at once if you have: severe or ongoing nosebleeds ; noisy breathing, runny nose, or crusting around your nostrils; redness, sores, or white patches in your mouth or throat; fever, chills, body aches; blurred vision, eye pain , or seeing halos around lights; any wound that will not heal; or signs of a hormonal disorder--worsening tiredness or muscle weakness, feeling light-headed, nausea , vomiting . Steroid medicine can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using fluticasone nasal. Common side effects of fluticasone nasal may include: minor nosebleed, burning or itching in your nose; sores or white patches inside or around your nose; cough, trouble breathing; headache , back pain ; sinus pain, sore throat , fever; or nausea, vomiting.","Flonase, Veramyst, Xhance, Flonase Sensimist, Flonase Allergy Relief, Good Sense Nasoflow, Good Sense Children's Allergy Relief, Good Sense Allergy Relief (Fluticasone)",,https://www.drugs.com/mtm/fluticasone-nasal.html
21,fluoxetine,"mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Fluoxetine may cause serious side effects. Call your doctor at once if you have: blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; fast or pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out); low levels of sodium in the body - headache , confusion, slurred speech, severe weakness, vomiting , loss of coordination, feeling unsteady; or severe nervous system reaction - very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea . Common fluoxetine side effects may include: sleep problems ( insomnia ), strange dreams; headache, dizziness, drowsiness, vision changes; tremors or shaking, feeling anxious or nervous; pain, weakness, yawning, tired feeling; upset stomach , loss of appetite, nausea, vomiting, diarrhea; dry mouth, sweating, hot flashes ; changes in weight or appetite; stuffy nose, sinus pain, sore throat, flu symptoms; or decreased sex drive, impotence , or difficulty having an orgasm.","Prozac, Sarafem, Rapiflux, Selfemra",X,https://www.drugs.com/fluoxetine.html
22,carvedilol,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have a serious side effect such as: a light-headed feeling, like you might pass out; slow or uneven heartbeats; swelling, rapid weight gain, feeling short of breath (even with mild exertion); cold feeling or numbness in your fingers or toes; chest pain, dry cough, wheezing, chest tightness, trouble breathing; or high blood sugar (increased thirst, increased urination, hunger, dry mouth, fruity breath odor, drowsiness, dry skin, blurred vision, weight loss). Common carvedilol side effects may include: weakness, dizziness; diarrhea; dry eyes; tired feeling; or weight gain.","Coreg, Coreg CR",X,https://www.drugs.com/carvedilol.html
23,duloxetine,"pounding heartbeats or fluttering in your chest; a light-headed feeling, like you might pass out; easy bruising, unusual bleeding; vision changes; painful or difficult urination; liver problems - right-sided upper stomach pain, itching, dark urine, jaundice (yellowing of the skin or eyes); low blood sodium - headache , confusion, problems with thinking or memory, weakness, feeling unsteady; or manic episodes - racing thoughts, increased energy, decreased need for sleep, risk-taking behavior, being agitated or talkative. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea . Common duloxetine side effects may include: drowsiness; nausea, constipation , loss of appetite; dry mouth; or increased sweating.","Cymbalta, Drizalma Sprinkle, Irenka",X,https://www.drugs.com/duloxetine.html
24,meloxicam,"sneezing, runny or stuffy nose; wheezing or trouble breathing; hives; swelling of your face, lips, tongue, or throat. Get emergency medical help if you have signs of a heart attack or stroke: chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, feeling short of breath. Meloxicam may cause serious side effects. Stop using this medicine and call your doctor at once if you have: the first sign of any skin rash, no matter how mild; shortness of breath (even with mild exertion); swelling or rapid weight gain; signs of stomach bleeding - bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; liver problems - nausea, upper stomach pain, itching, tired feeling, flu-like symptoms, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); kidney problems - little or no urinating, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath; low red blood cells (anemia) - pale skin, feeling light-headed or short of breath, rapid heart rate, trouble concentrating; or severe skin reaction - fever, sore throat, swelling in your face or tongue, burning in your eyes, skin pain followed by a red or purple skin rash that spreads (especially in the face or upper body) and causes blistering and peeling. Common side effects of meloxicam may include: upset stomach, nausea, vomiting, heartburn; diarrhea, constipation, gas; dizziness; or cold or flu symptoms.","Anjeso, Mobic, Vivlodex",X,https://www.drugs.com/meloxicam.html
25,clopidogrel,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Clopidogrel increases your risk of bleeding, which can be severe or life-threatening. Call your doctor or seek emergency medical attention if you have bleeding that will not stop, if you have blood in your urine, black or bloody stools, or if you cough up blood or vomit that looks like coffee grounds. Also call your doctor at once if you have: nosebleeds , pale skin, easy bruising, purple spots under your skin or in your mouth; jaundice (yellowing of your skin or eyes); fast heartbeats, shortness of breath; headache , fever, weakness, feeling tired; little or no urination; a seizure; low blood sugar --headache, hunger, sweating, irritability, dizziness , fast heart rate , and feeling anxious or shaky; or signs of a blood clot--sudden numbness or weakness, confusion, problems with vision or speech. Common side effects of clopidogrel may include: bleeding.",Plavix,,https://www.drugs.com/mtm/clopidogrel.html
26,prednisone,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: blurred vision, eye pain, or seeing halos around lights; swelling, rapid weight gain, feeling short of breath; severe depression, feelings of extreme happiness or sadness, changes in personality or behavior, seizure (convulsions); bloody or tarry stools, coughing up blood; pancreatitis (severe pain in your upper stomach spreading to your back, nausea and vomiting, fast heart rate); low potassium (confusion, uneven heart rate, extreme thirst, increased urination, leg discomfort, muscle weakness or limp feeling); or dangerously high blood pressure (severe headache, blurred vision, buzzing in your ears, anxiety, confusion, chest pain, shortness of breath, uneven heartbeats, seizure). Other common prednisone side effects may include: sleep problems (insomnia), mood changes; increased appetite, gradual weight gain; acne, increased sweating, dry skin, thinning skin, bruising or discoloration; slow wound healing; headache, dizziness, spinning sensation; nausea, stomach pain, bloating; or changes in the shape or location of body fat (especially in your arms, legs, face, neck, breasts, and waist).","Rayos, Sterapred, Deltasone",,https://www.drugs.com/prednisone.html
27,citalopram,"hives , rash, blisters; fever, joint pain; difficult breathing; swelling of your face, lips, tongue, or throat. Tell your doctor right away if you have new or sudden changes in mood or behavior, including new or worse depression or anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, more active or talkative, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: a light-headed feeling, like you might pass out; blurred vision, eye pain or redness, seeing halos around lights; fast or pounding heartbeats, pain or fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out); a seizure; manic episodes - racing thoughts, increased energy, decreased need for sleep, risk-taking behavior, being agitated or talkative; severe nervous system reaction - very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors; or low blood sodium - headache , confusion, problems with thinking or memory, weakness, feeling unsteady. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting , or diarrhea . Common citalopram side effects may include: sexual problems; dizziness, drowsiness; dry mouth, thirst, increased sweating or urination; loss of appetite, nausea, diarrhea, constipation ; feeling anxious, agitated, or shaky; feeling weak or tired; sleep problems ( insomnia ); yawning; increased muscle movement; nosebleeds , heavy menstrual bleeding ; or cold symptoms such as stuffy nose, sneezing, sore throat .",Celexa,X,https://www.drugs.com/citalopram.html
28,insulin glargine,"redness or swelling where an injection was given, itchy skin rash over the entire body, trouble breathing, fast heartbeats, feeling like you might pass out, or swelling in your tongue or throat. Insulin glargine may cause serious side effects. Call your doctor at once if you have: rapid weight gain, swelling in your feet or ankles; shortness of breath; or low blood potassium--leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling. Common side effects of insulin glargine may include: low blood sugar; swelling, weight gain; allergic reaction, itching, rash; or thickening or hollowing of the skin where you injected the medicine.","Lantus, Semglee, Toujeo, Lantus OptiClik Cartridge, Toujeo Max SoloStar, Semglee Prefilled Pen, Semglee (Vial), Semglee (Prefilled Pen)",X,https://www.drugs.com/mtm/insulin-glargine.html
29,pravastatin,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, pravastatin can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark colored urine. Call your doctor right away if you have: muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; or liver problems - loss of appetite, stomach pain (upper right side), tiredness, dark urine, jaundice (yellowing of the skin or eyes). Common pravastatin side effects may include: muscle or joint pain; nausea , vomiting , diarrhea ; headache ; or cold symptoms such as stuffy nose, sneezing, sore throat .",Pravachol,X,https://www.drugs.com/pravastatin.html
30,tramadol,"noisy breathing, sighing, shallow breathing, breathing that stops during sleep; a slow heart rate or weak pulse; a light-headed feeling, like you might pass out; seizure (convulsions); or low cortisol levels - nausea , vomiting , loss of appetite, dizziness, worsening tiredness or weakness. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea . Serious breathing problems may be more likely in older adults and people who are debilitated or have wasting syndrome or chronic breathing disorders. Common side effects of tramadol may include: constipation ; nausea and vomiting; stomach pain; dizziness; drowsiness; tiredness; headache ; itching.","ConZip, Qdolo, Ultram, Ultram ER",X,https://www.drugs.com/tramadol.html
31,aspirin,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Aspirin may cause serious side effects. Stop using this medicine and call your doctor at once if you have: ringing in your ears, confusion, hallucinations, rapid breathing, seizure (convulsions); severe nausea, vomiting, or stomach pain; bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; fever lasting longer than 3 days; or swelling, or pain lasting longer than 10 days. Common side effects of aspirin may include: upset stomach; heartburn; drowsiness; or mild headache.","Arthritis Pain, Aspi-Cor, Aspir-Low, Bufferin, Durlaza, Ecotrin, Ecpirin, Miniprin, Vazalore.",X,https://www.drugs.com/aspirin.html
